temp,Column1,label
34.5,7.3649856,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
39.3,7.3649856,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
72.8,7.3649856,Shirt | Shorts | Gentle Breeze
32.8,7.4800635,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
77.6,7.4800635,Shirt | Shorts | Gentle Breeze
77.9,7.4800635,Shirt | Shorts | Gentle Breeze
25,7.5951414,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
48,7.5951414,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
77.4,7.5951414,Shirt | Shorts | Gentle Breeze
39.5,7.7102193,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
43.5,7.7102193,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
69.8,7.7102193,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
78.1,7.8252972,Shirt | Shorts | Gentle Breeze
68.4,7.9403751,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
78,8.1705309,Shirt | Shorts | Gentle Breeze
24.2,8.2856088,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
26,8.2856088,Sweater | Heavy Coat  | Hat | Scarf  | Boots | Mask | Gentle Breeze
63.3,8.2856088,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
77.1,8.2856088,Shirt | Shorts | Gentle Breeze
78.2,8.2856088,Shirt | Shorts | Gentle Breeze
45,8.4006867,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
65.8,8.4006867,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
74.5,8.4006867,Shirt | Shorts | Gentle Breeze
76,8.4006867,Shirt | Shorts | Gentle Breeze
77.7,8.4006867,Shirt | Shorts | Gentle Breeze
39.8,8.5157646,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
66.8,8.5157646,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
77.7,8.5157646,Shirt | Shorts | Gentle Breeze
42.4,8.6308425,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
44.7,8.6308425,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
74.9,8.6308425,Shirt | Shorts | Gentle Breeze
47.8,8.8609983,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
76.1,8.8609983,Shirt | Shorts | Gentle Breeze
37.5,8.9760762,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
77.9,8.9760762,Shirt | Shorts | Gentle Breeze
62.1,9.206232,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
69.5,9.206232,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
78.7,9.206232,Shirt | Shorts | Gentle Breeze
72.2,9.3213099,Shirt | Shorts | Gentle Breeze
78.5,9.4363878,Shirt | Shorts | Gentle Breeze
67.3,9.5514657,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
71.1,9.6665436,Shirt | Shorts | Gentle Breeze
77.9,9.6665436,Shirt | Shorts | Gentle Breeze
78.4,9.6665436,Shirt | Shorts | Gentle Breeze
78.5,9.7816215,Shirt | Shorts | Gentle Breeze
78.7,9.7816215,Shirt | Shorts | Gentle Breeze
67.8,10.0117773,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
77.5,10.1268552,Shirt | Shorts | Gentle Breeze
77.9,10.2419331,Shirt | Shorts | Gentle Breeze
40.1,10.357011,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
40.1,10.357011,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
70.9,10.4720889,Shirt | Shorts | Gentle Breeze
78,10.4720889,Shirt | Shorts | Gentle Breeze
72.1,10.5871668,Shirt | Shorts | Gentle Breeze
63.1,10.7022447,Shirt | Pants | Jacket | Long Sleeves | Gentle Breeze
78.4,10.7022447,Shirt | Shorts | Gentle Breeze
42.6,10.8173226,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf | Gentle Breeze
77.2,10.8173226,Shirt | Shorts | Gentle Breeze
73.7,10.9324005,Shirt | Shorts | Gentle Breeze
78.3,11.3927121,Shirt | Shorts | Gentle Breeze
39,11.6228679,Sweater | Long Sleeves | Coat | Cardigan | Hat | Scarf  | Gentle Breeze
